filename	ATTRIBUTE_Code	ATTRIBUTE_Replicate	ATTRIBUTE_polarity	ATTRIBUTE_Type	ATTRIBUTE_Family	ATTRIBUTE_Genus	ATTRIBUTE_Species	ATTRIBUTE_Organe	ATTRIBUTE_Broad_organ	ATTRIBUTE_Tissue	ATTRIBUTE_Subsystem	ATTRIBUTE_Sppart	is_approximate_match	is_synonym	matched_name	nomenclature_code	score	search_string	taxon.flags	taxon.is_suppressed	taxon.is_suppressed_from_synth	taxon.name	taxon.ott_id	taxon.rank	taxon.source	taxon.synonyms	taxon.tax_sources	taxon.unique_name	_merge
LQ-01-61-14_02_neg.mzML	V113979	2	negative	Sample	Celastraceae	Evonymopsis	evonymopsis	Underground_parts	multiple	multiple	belowground	Evonympsis_sp|Underground_parts	False	False	Evonymopsis	ICN	1.0	evonymopsis	['sibling_higher']	False	False	Evonymopsis	5233471.0	genus	ott3.3draft1	['Euonymopsis']	['ncbi:1312050', 'gbif:7265617', 'irmng:1241964']	Evonymopsis	both
LQ-01-61-14_03_neg.mzML	V113979	3	negative	Sample	Celastraceae	Evonymopsis	evonymopsis	Underground_parts	multiple	multiple	belowground	Evonympsis_sp|Underground_parts	False	False	Evonymopsis	ICN	1.0	evonymopsis	['sibling_higher']	False	False	Evonymopsis	5233471.0	genus	ott3.3draft1	['Euonymopsis']	['ncbi:1312050', 'gbif:7265617', 'irmng:1241964']	Evonymopsis	both
LQ-01-61-15_03_neg.mzML	V104538	3	negative	Sample	Celastraceae	Euonymus	euonymus alatus	Stems	woody vegetative	woody tissue 	aboveground	Euonymus_alatus|Stems	False	False	Euonymus alatus	ICN	1.0	euonymus alatus	['sibling_higher']	False	False	Euonymus alatus	601141.0	species	ott3.3draft1	['Celastrus alatus', 'Euonymus alata', 'Euonymus alatus nakamurae', 'Euonymus bancanus', 'Euonymus coriaceus', 'Euonymus elmeri', 'Euonymus goughii', 'Euonymus horsfieldii', 'Euonymus indicus', 'Euonymus javanicus', 'Euonymus javanicus talungensis', 'Euonymus javanicus timorensis', 'Euonymus micropetalus', 'Euonymus sphaerocarpus', 'Euonymus subtriflorus', 'Euonymus sumatranus', 'Euonymus timorensis']	['ncbi:4307', 'gbif:3169120', 'gbif:3792270', 'irmng:11413819', 'irmng:10590550']	Euonymus alatus	both
LQ-01-61-16_03_neg.mzML	V104539	3	negative	Sample	Celastraceae	Euonymus	euonymus alatus	Leaves	photosynthetic	green tissue	aboveground	Euonymus_alatus|Leaves	False	False	Euonymus alatus	ICN	1.0	euonymus alatus	['sibling_higher']	False	False	Euonymus alatus	601141.0	species	ott3.3draft1	['Celastrus alatus', 'Euonymus alata', 'Euonymus alatus nakamurae', 'Euonymus bancanus', 'Euonymus coriaceus', 'Euonymus elmeri', 'Euonymus goughii', 'Euonymus horsfieldii', 'Euonymus indicus', 'Euonymus javanicus', 'Euonymus javanicus talungensis', 'Euonymus javanicus timorensis', 'Euonymus micropetalus', 'Euonymus sphaerocarpus', 'Euonymus subtriflorus', 'Euonymus sumatranus', 'Euonymus timorensis']	['ncbi:4307', 'gbif:3169120', 'gbif:3792270', 'irmng:11413819', 'irmng:10590550']	Euonymus alatus	both
LQ-01-61-17_03_neg.mzML	V110858	3	negative	Sample	Celastraceae	Euonymus	euonymus bockii	Roots	roots	root tissue	belowground	Euonymus_bockii|Roots	False	False	Euonymus bockii	ICN	1.0	euonymus bockii	['sibling_higher']	False	False	Euonymus bockii	5513360.0	species	ott3.3draft1	['Euonymus bockii rotundatus', 'Euonymus orgyalis', 'Euonymus petelotii', 'Euonymus subsessilis latifolius']	['ncbi:1442714', 'gbif:8062737']	Euonymus bockii	both
LQ-01-61-18_03_neg.mzML	V110859	3	negative	Sample	Celastraceae	Euonymus	euonymus bockii	Stems	woody vegetative	woody tissue 	aboveground	Euonymus_bockii|Stems	False	False	Euonymus bockii	ICN	1.0	euonymus bockii	['sibling_higher']	False	False	Euonymus bockii	5513360.0	species	ott3.3draft1	['Euonymus bockii rotundatus', 'Euonymus orgyalis', 'Euonymus petelotii', 'Euonymus subsessilis latifolius']	['ncbi:1442714', 'gbif:8062737']	Euonymus bockii	both
LQ-01-61-19_03_neg.mzML	V110860	3	negative	Sample	Celastraceae	Euonymus	euonymus bockii	Leaves	photosynthetic	green tissue	aboveground	Euonymus_bockii|Leaves	False	False	Euonymus bockii	ICN	1.0	euonymus bockii	['sibling_higher']	False	False	Euonymus bockii	5513360.0	species	ott3.3draft1	['Euonymus bockii rotundatus', 'Euonymus orgyalis', 'Euonymus petelotii', 'Euonymus subsessilis latifolius']	['ncbi:1442714', 'gbif:8062737']	Euonymus bockii	both
LQ-01-61-20_03_neg.mzML	V105442	3	negative	Sample	Celastraceae	Euonymus	euonymus bungeanus	Stems	woody vegetative	woody tissue 	aboveground	Euonymus_bungeanus|Stems	False	True	Euonymus bungeanus	ICN	1.0	euonymus bungeanus	['sibling_higher']	False	False	Euonymus maackii	1062527.0	species	ott3.3draft1	['Euonymus bodinieri', 'Euonymus bungeanus', 'Euonymus bungeanus latifolius', 'Euonymus bungeanus mongolicus', 'Euonymus bungeanus ovatus', 'Euonymus coreanus', 'Euonymus forbesii', 'Euonymus hamiltoniana maackii', 'Euonymus hamiltonianus maackii', 'Euonymus hamiltonianus semipersistens', 'Euonymus hamiltonianus subsp. maackii', 'Euonymus hamiltonianus var. maackii', 'Euonymus maackii lanceolatus', 'Euonymus maackii salicifolia', 'Euonymus maackii trichophyllus', 'Euonymus micranthus', 'Euonymus mongolicus', 'Euonymus oukiakensis', 'Euonymus quelpaertensis', 'Euonymus rugosus', 'Euonymus semipersistens', 'Euonymus trapococcus']	['ncbi:4309', 'gbif:7265494']	Euonymus maackii	both
LQ-01-61-21_03_neg.mzML	V116403	3	negative	Sample	Celastraceae	Euonymus	euonymus cochinchinensis	Branche	woody vegetative	woody tissue	aboveground	Euonymus_cochinchinensis|Branche	False	False	Euonymus cochinchinensis	ICN	1.0	euonymus cochinchinensis	['sibling_higher']	False	False	Euonymus cochinchinensis	5513347.0	species	ott3.3draft1	['Euonymus colonoides', 'Euonymus oliganthus', 'Euonymus pahangensis', 'Euonymus philippinensis', 'Euonymus similis', 'Glyptopetalum scortechinii', 'Sphaerodiscus cochinchinensis']	['ncbi:1489648', 'gbif:3793714']	Euonymus cochinchinensis	both
LQ-01-61-22_03_neg.mzML	V116404	3	negative	Sample	Celastraceae	Euonymus	euonymus cochinchinensis	Roots	roots	root tissue	belowground	Euonymus_cochinchinensis|Roots	False	False	Euonymus cochinchinensis	ICN	1.0	euonymus cochinchinensis	['sibling_higher']	False	False	Euonymus cochinchinensis	5513347.0	species	ott3.3draft1	['Euonymus colonoides', 'Euonymus oliganthus', 'Euonymus pahangensis', 'Euonymus philippinensis', 'Euonymus similis', 'Glyptopetalum scortechinii', 'Sphaerodiscus cochinchinensis']	['ncbi:1489648', 'gbif:3793714']	Euonymus cochinchinensis	both
